idFunc,Nome_func,Sobrenome,Idade,idVenda,Nome_vendas,Quantidade
28,Davi Lucas,Barreto,31,14079,Repolho,16
28,Davi Lucas,Barreto,31,35739,Papel higiênico,11
29,Rodrigo,Azambuja,51,32691,Azeite,17
29,Rodrigo,Azambuja,51,33958,Milho,13
29,Rodrigo,Azambuja,51,33966,Limpa-vidro,15
29,Rodrigo,Azambuja,51,36629,Sopa,10
30,Allana,Amorim,21,1809,Bolos,14
30,Allana,Amorim,21,14614,Ovos,17
30,Allana,Amorim,21,15804,Salame,7
30,Allana,Amorim,21,23124,Ervilha,10
30,Allana,Amorim,21,28270,Cebola,2
30,Allana,Amorim,21,29828,Condicionador,15
30,Allana,Amorim,21,30879,Creme de leite,7
30,Allana,Amorim,21,37137,Alvejante,9
30,Allana,Amorim,21,39698,Manjericão,3
31,Nathan,Ximenes,33,8090,Peito de peru,14
31,Nathan,Ximenes,33,10181,Pano de prato,2
31,Nathan,Ximenes,33,15323,Doces,18
31,Nathan,Ximenes,33,15799,Catchup,13
31,Nathan,Ximenes,33,24827,Antisséptico,11
33,Lavínia,Varela,38,4453,Lava-roupas,8
33,Lavínia,Varela,38,10712,Couve,14
33,Lavínia,Varela,38,16787,Baunilha,18
33,Lavínia,Varela,38,29338,Biscoitos,14
33,Lavínia,Varela,38,39547,Sardinha,12
34,Rafael,Ávila,20,2573,Algodão,17
34,Rafael,Ávila,20,4074,Manjericão,11
34,Rafael,Ávila,20,10924,Manteiga,2
34,Rafael,Ávila,20,12806,Leite condensado,16
34,Rafael,Ávila,20,12875,Refrigerante,17
34,Rafael,Ávila,20,23356,Cenoura,13
34,Rafael,Ávila,20,36917,Lixa,10
35,Ana,Monteiro,23,3452,Agrião,19
35,Ana,Monteiro,23,3765,Pinça,12
35,Ana,Monteiro,23,8541,Hidratante,15
35,Ana,Monteiro,23,8854,Sardinha,11
35,Ana,Monteiro,23,15251,Condicionador,19
35,Ana,Monteiro,23,25855,Adoçante,15
35,Ana,Monteiro,23,27038,Salgados,3
35,Ana,Monteiro,23,31868,Saco de lixo,18
36,Pedro,Aguiar,26,983,Cotonete,8
36,Pedro,Aguiar,26,7073,Alho,6
36,Pedro,Aguiar,26,9599,Cortador de unhas,8
36,Pedro,Aguiar,26,14720,Fio-dental,3
36,Pedro,Aguiar,26,35556,Adoçante,15
36,Pedro,Aguiar,26,39852,Champanhe,13
37,Ana,Araújo,16,24755,Adoçante,15
38,Maria Cecília,Sampaio,54,7601,Chá,19
38,Maria Cecília,Sampaio,54,10271,Farinha de rosca,13
38,Maria Cecília,Sampaio,54,10824,Bovina,3
38,Maria Cecília,Sampaio,54,26826,Pêra,7
38,Maria Cecília,Sampaio,54,37986,Agrião,18
39,Ana Liz,Calixto,18,8403,Absorvente,3
39,Ana Liz,Calixto,18,34367,Abacate,18
40,Arthur Miguel,Bonfim,23,17863,Berinjela,17
40,Arthur Miguel,Bonfim,23,34938,Peixe,18
40,Arthur Miguel,Bonfim,23,39744,Pêra,5
41,Théo,Cunha,46,22899,Alvejante,17
41,Théo,Cunha,46,31414,Cotonete,4
42,Enzo,Taveira,18,16280,Requeijão,4
42,Enzo,Taveira,18,28875,Hambúrguer,5
42,Enzo,Taveira,18,37578,Água,7
43,João,Dantas,41,2554,Farinha de trigo,2
43,João,Dantas,41,24653,Manteiga,6
43,João,Dantas,41,31631,Pepino,10
43,João,Dantas,41,34478,Azeite,11
44,Maya,Ilha,49,13226,Lentilha,12
44,Maya,Ilha,49,20475,Bovina,2
45,Henrique,Pacheco,22,4791,Álcool,2
45,Henrique,Pacheco,22,8220,Leite,12
45,Henrique,Pacheco,22,13652,Chuchu,18
45,Henrique,Pacheco,22,18277,Coco ralado,3
45,Henrique,Pacheco,22,25436,Champignon,18
45,Henrique,Pacheco,22,26033,Pimentão,3
45,Henrique,Pacheco,22,30948,Farinha de mandioca,14
45,Henrique,Pacheco,22,31241,Algodão,17
45,Henrique,Pacheco,22,32897,Esmalte,2
46,Lucca,Farias,41,25718,Vodca,16
46,Lucca,Farias,41,31719,Alho,6
47,Luiz Otávio,Rebelo,59,2667,Toalha de papel,3
47,Luiz Otávio,Rebelo,59,22433,Velas,18
47,Luiz Otávio,Rebelo,59,35195,Saco de lixo,15
48,Alícia,Maciel,49,2087,Melão,4
48,Alícia,Maciel,49,5052,Champignon,7
48,Alícia,Maciel,49,29130,Desinfetante,9
48,Alícia,Maciel,49,30156,Beterraba,18
48,Alícia,Maciel,49,31150,Banana,19
48,Alícia,Maciel,49,32833,Sabão em pó,14
48,Alícia,Maciel,49,36984,Achocolatado,19
49,Kaique,Gil,46,6810,Detergente,17
49,Kaique,Gil,46,8786,Hambúrguer,3
49,Kaique,Gil,46,16390,Cotonete,1
49,Kaique,Gil,46,21520,Iogurte,10
49,Kaique,Gil,46,37686,Pilhas,10
49,Kaique,Gil,46,39084,Salgados,1
50,Oliver,Zanette,52,15985,Espinafre,6
50,Oliver,Zanette,52,36951,Salgados,6
51,Esther,Jordão,32,32543,Pepino,2
51,Esther,Jordão,32,39469,Chá,11
52,Mariana,Queiroz,44,2313,Espinafre,19
52,Mariana,Queiroz,44,31790,Lâmina de barbear,1
53,Alícia,Jesus,44,684,Biscoito,8
53,Alícia,Jesus,44,2065,Chocolate granulado,5
53,Alícia,Jesus,44,10763,Ervilha,11
53,Alícia,Jesus,44,18432,Pano de prato,2
53,Alícia,Jesus,44,18739,Sabonete,1
53,Alícia,Jesus,44,32854,Absorvente,4
53,Alícia,Jesus,44,33314,Beterraba,9
53,Alícia,Jesus,44,37625,Bolos,11
53,Alícia,Jesus,44,38820,Alho,10
54,Valentina,Castro,49,18631,Peixe,17
54,Valentina,Castro,49,23326,Pano de prato,12
54,Valentina,Castro,49,23694,Chá,1
55,João Victor,Ramos,33,12608,Farinha de milho,11
55,João Victor,Ramos,33,24547,Maça,4
56,Ian,Ribeiro,25,4426,Pinça,3
56,Ian,Ribeiro,25,11781,Batata,18
56,Ian,Ribeiro,25,16077,Manteiga,18
56,Ian,Ribeiro,25,18770,Bovina,10
56,Ian,Ribeiro,25,22748,Açúcar,13
56,Ian,Ribeiro,25,30624,Alface,9
56,Ian,Ribeiro,25,36197,Goiaba,4
57,Ana Cecília,Góis,27,7380,Cortador de unhas,16
57,Ana Cecília,Góis,27,11131,Escova de dente,12
57,Ana Cecília,Góis,27,13937,Fermento,11
57,Ana Cecília,Góis,27,27130,Chá,15
57,Ana Cecília,Góis,27,32162,Tortas,2
57,Ana Cecília,Góis,27,34047,Manjericão,5
57,Ana Cecília,Góis,27,39057,Manjericão,8
58,Allana,Alves,51,15186,Frutas secas,6
58,Allana,Alves,51,16148,Salsicha,7
58,Allana,Alves,51,20271,Fósforo,15
58,Allana,Alves,51,20899,Salame,15
58,Allana,Alves,51,29597,Álcool,18
58,Allana,Alves,51,31644,Ricota,12
58,Allana,Alves,51,31701,Leite,17
58,Allana,Alves,51,38263,Farinha de mandioca,6
59,Luiz Felipe,Ribeiro,31,4109,Chocolate granulado,5
59,Luiz Felipe,Ribeiro,31,4502,Ovos,19
59,Luiz Felipe,Ribeiro,31,6777,Peito de peru,14
59,Luiz Felipe,Ribeiro,31,9094,Sal grosso,3
59,Luiz Felipe,Ribeiro,31,11229,Vinho,10
59,Luiz Felipe,Ribeiro,31,11467,Ovos,19
59,Luiz Felipe,Ribeiro,31,14324,Água sanitária,18
59,Luiz Felipe,Ribeiro,31,33189,Salsicha,17
60,Olívia,Oliveira,49,21860,Bovina,9
61,Kauê,Morgado,24,14715,Aparelho de barbear,8
61,Kauê,Morgado,24,15060,Lava-roupas,18
61,Kauê,Morgado,24,24045,Velas,1
61,Kauê,Morgado,24,25928,Carvão,19
62,Arthur Henrique,Curado,47,11966,Desinfetante,7
62,Arthur Henrique,Curado,47,36934,Laranja,4
62,Arthur Henrique,Curado,47,37561,Água sanitária,14
63,Esther,Peixoto,29,1185,Sardinha,12
63,Esther,Peixoto,29,2758,Lenço de papel,15
63,Esther,Peixoto,29,3892,Repolho,2
63,Esther,Peixoto,29,28204,Ervilha,8
63,Esther,Peixoto,29,36336,Hidratante,9
63,Esther,Peixoto,29,38257,Mamão,1
64,Lorena,Coutinho,34,5840,Peito de peru,16
64,Lorena,Coutinho,34,12133,Cerveja,5
65,Davi Luiz,Portela,31,22302,Frutas secas,19
65,Davi Luiz,Portela,31,27431,Presunto,7
65,Davi Luiz,Portela,31,31456,Papel higiênico,18
65,Davi Luiz,Portela,31,32947,Farinha de trigo,17
65,Davi Luiz,Portela,31,36104,Cenoura,15
66,Caleb,Baptista,31,9603,Pêra,4
66,Caleb,Baptista,31,13059,Chester,8
66,Caleb,Baptista,31,26034,Esponja,14
67,Ruan,Damásio,43,8839,Peito de peru,19
67,Ruan,Damásio,43,19359,Lava-roupas,8
67,Ruan,Damásio,43,24377,Arroz,7
67,Ruan,Damásio,43,29707,Guardanapos,19
67,Ruan,Damásio,43,33793,Chocolate,2
68,Tomás,Pacheco,48,9803,Lava-roupas,18
69,Aurora,Goulart,49,6600,Ervilha,3
69,Aurora,Goulart,49,8255,Alho,1
69,Aurora,Goulart,49,26225,Farinha de trigo,13
69,Aurora,Goulart,49,30167,Sabão em pó,1
69,Aurora,Goulart,49,32174,Toalha de papel,12
69,Aurora,Goulart,49,37309,Acetona,15
70,Nicole,Galvão,30,4892,Leite,1
70,Nicole,Galvão,30,5742,Pimentão,7
70,Nicole,Galvão,30,8566,Doces,3
70,Nicole,Galvão,30,11683,Espinafre,9
70,Nicole,Galvão,30,26645,Alvejante,13
71,Lucas,Farias,46,4367,Chocolate,5
71,Lucas,Farias,46,5356,Pimentão,16
71,Lucas,Farias,46,10720,Salgados,19
71,Lucas,Farias,46,28690,Pinça,6
71,Lucas,Farias,46,33880,Geleia,13
71,Lucas,Farias,46,38558,Fósforo,2
72,Emanuel,Torres,38,4104,Aparelho de barbear,6
72,Emanuel,Torres,38,10411,Porco,12
72,Emanuel,Torres,38,14923,Farinha de milho,18
72,Emanuel,Torres,38,19174,Salame,3
72,Emanuel,Torres,38,26007,Pano de limpeza,19
72,Emanuel,Torres,38,39871,Chester,13
73,Murilo,Queiroz,53,14892,Mortadela,2
73,Murilo,Queiroz,53,17312,Catchup,15
74,Anthony,Taveira,46,1302,Licor,10
74,Anthony,Taveira,46,6170,Palmito,14
74,Anthony,Taveira,46,23787,Peixe,6
74,Anthony,Taveira,46,24888,Cebola,5
74,Anthony,Taveira,46,27532,Tomate,12
75,Stella,Jordão,24,35011,Goiaba,12
76,Carlos Eduardo,Tavares,27,4062,Cortador de unhas,6
76,Carlos Eduardo,Tavares,27,10730,Álcool,13
76,Carlos Eduardo,Tavares,27,12571,Carvão,11
76,Carlos Eduardo,Tavares,27,30466,Pães,13
76,Carlos Eduardo,Tavares,27,34125,Saco de lixo,13
76,Carlos Eduardo,Tavares,27,35141,Carvão,10
77,Maria Flor,Gil,36,463,Hidratante,3
77,Maria Flor,Gil,36,8207,Pilhas,12
77,Maria Flor,Gil,36,13507,Pinça,16
77,Maria Flor,Gil,36,23836,Queijo,5
77,Maria Flor,Gil,36,26076,Lentilha,2
77,Maria Flor,Gil,36,36150,Lenço de papel,6
78,Maria Valentina,Padilha,19,9243,Coco ralado,5
78,Maria Valentina,Padilha,19,9885,Sabonete,5
78,Maria Valentina,Padilha,19,22987,Abacaxi,14
78,Maria Valentina,Padilha,19,23859,Peixe,15
78,Maria Valentina,Padilha,19,33079,Alvejante,12
78,Maria Valentina,Padilha,19,39447,Banana,14
79,Vitória,Antunes,44,4112,Ovos,16
79,Vitória,Antunes,44,28531,Cortador de unhas,10
79,Vitória,Antunes,44,30963,Saco de lixo,2
79,Vitória,Antunes,44,32118,Maça,4
80,Lucas,Salgueiro,29,10799,Pente,2
80,Lucas,Salgueiro,29,25923,Palmito,7
80,Lucas,Salgueiro,29,26304,Água,14
80,Lucas,Salgueiro,29,34952,Tortas,19
81,Cauã,Barreto,18,647,Pimentão,15
81,Cauã,Barreto,18,2391,Guardanapos,9
81,Cauã,Barreto,18,3818,Couve,14
81,Cauã,Barreto,18,34888,Purificador de ambientes,1
81,Cauã,Barreto,18,39890,Alface,5
82,Laura,Salgueiro,25,8158,Chocolate granulado,9
82,Laura,Salgueiro,25,23180,Catchup,14
82,Laura,Salgueiro,25,33535,Molho,5
82,Laura,Salgueiro,25,34335,Arroz,7
83,Laís,Drumond,28,2636,Lâmina de barbear,4
83,Laís,Drumond,28,13012,Fio-dental,17
83,Laís,Drumond,28,14310,Mostarda,11
83,Laís,Drumond,28,24094,Leite,5
83,Laís,Drumond,28,31728,Ervilha,4
84,Ana Liz,Xisco,53,586,Aparelho de barbear,3
84,Ana Liz,Xisco,53,1656,Cortador de unhas,1
84,Ana Liz,Xisco,53,3491,Detergente,9
84,Ana Liz,Xisco,53,25288,Álcool,13
84,Ana Liz,Xisco,53,27427,Berinjela,15
84,Ana Liz,Xisco,53,31315,Purificador de ambientes,1
84,Ana Liz,Xisco,53,33369,Preservativo,5
85,Antonella,Conceição,43,8888,Mortadela,12
85,Antonella,Conceição,43,18849,Licor,1
85,Antonella,Conceição,43,27798,Geleia,13
85,Antonella,Conceição,43,30277,Açúcar,12
85,Antonella,Conceição,43,33374,Bolos,16
86,Carolina,Novais,30,6605,Papel higiênico,16
86,Carolina,Novais,30,8687,Rúcula,16
86,Carolina,Novais,30,9580,Inseticida,4
86,Carolina,Novais,30,10417,Absorvente,3
86,Carolina,Novais,30,17500,Pilhas,2
86,Carolina,Novais,30,25968,Baunilha,11
86,Carolina,Novais,30,29515,Coco ralado,7
87,Maria Alice,Teles,26,3220,Lixa,15
87,Maria Alice,Teles,26,5686,Polvilho,15
87,Maria Alice,Teles,26,11510,Fio-dental,7
87,Maria Alice,Teles,26,28974,Berinjela,4
87,Maria Alice,Teles,26,35876,Papel higiênico,1
87,Maria Alice,Teles,26,38780,Água de coco,16
88,Carlos Eduardo,Meireles,44,13005,Bacon,1
88,Carlos Eduardo,Meireles,44,21634,Creme de leite,11
89,João Victor,Ramires,48,293,Mortadela,12
89,João Victor,Ramires,48,6792,Lâmina de barbear,7
89,João Victor,Ramires,48,16428,Adoçante,8
89,João Victor,Ramires,48,39656,Farinha de milho,1
90,Laís,Vargas,34,3946,Xampu,10
90,Laís,Vargas,34,11775,Cebola,15
90,Laís,Vargas,34,28535,Pilhas,12
91,Maria Helena,Freitas,54,627,Sopa,8
91,Maria Helena,Freitas,54,8006,Inseticida,8
91,Maria Helena,Freitas,54,30268,Alvejante,10
92,Arthur,Gouveia,51,9823,Refrigerante,16
92,Arthur,Gouveia,51,21391,Limpa-vidro,14
92,Arthur,Gouveia,51,21718,Doces,3
92,Arthur,Gouveia,51,27978,Açúcar,4
92,Arthur,Gouveia,51,35591,Maionese,9
93,Caio,Araújo,32,18042,Tortas,2
93,Caio,Araújo,32,23643,Atum,7
93,Caio,Araújo,32,27233,Chester,4
93,Caio,Araújo,32,30941,Pente,2
93,Caio,Araújo,32,34909,Achocolatado,8
94,Ana Sophia,Geraldes,25,25852,Sal grosso,13
94,Ana Sophia,Geraldes,25,26316,Maionese,2
94,Ana Sophia,Geraldes,25,35697,Nata,10
95,Arthur,Xavier,44,1397,Pano de limpeza,13
95,Arthur,Xavier,44,4390,Melão,14
95,Arthur,Xavier,44,6429,Hidratante,12
95,Arthur,Xavier,44,9230,Água de coco,7
95,Arthur,Xavier,44,18332,Tomate,6
95,Arthur,Xavier,44,18484,Fermento,17
95,Arthur,Xavier,44,25685,Bovina,13
95,Arthur,Xavier,44,27574,Fermento,7
95,Arthur,Xavier,44,28657,Baunilha,16
96,Benício,Ramires,47,5135,Sagu,5
96,Benício,Ramires,47,6707,Uísque,12
96,Benício,Ramires,47,7119,Sal,8
96,Benício,Ramires,47,27537,Água tônica,1
96,Benício,Ramires,47,27784,Talco,2
96,Benício,Ramires,47,30118,Chester,6
97,Maria Cecília,Guedes,32,8593,Biscoito,14
97,Maria Cecília,Guedes,32,16159,Chá,19
97,Maria Cecília,Guedes,32,22424,Geleia,10
98,Giovanna,Paraíso,55,3048,Frutas secas,10
98,Giovanna,Paraíso,55,3604,Bacon,17
98,Giovanna,Paraíso,55,5209,Atum,10
98,Giovanna,Paraíso,55,8364,Vodca,12
98,Giovanna,Paraíso,55,13901,Uva,7
98,Giovanna,Paraíso,55,17905,Berinjela,3
98,Giovanna,Paraíso,55,19075,Vagem,11
98,Giovanna,Paraíso,55,25172,Goiaba,10
99,José,Ribeiro,49,1733,Uísque,7
99,José,Ribeiro,49,13345,Pães,16
99,José,Ribeiro,49,15303,Sopa,17
99,José,Ribeiro,49,20272,Mamão,7
99,José,Ribeiro,49,23345,Bovina,10
100,Arthur Henrique,Agostinho,16,4127,Catchup,8
100,Arthur Henrique,Agostinho,16,14362,Biscoitos,2
100,Arthur Henrique,Agostinho,16,15472,Salsinha,7
100,Arthur Henrique,Agostinho,16,24748,Bombom,12
100,Arthur Henrique,Agostinho,16,28987,Batata palha,10
101,Pedro Miguel,Paiva,21,4048,Vassoura,14
101,Pedro Miguel,Paiva,21,4250,Absorvente,11
101,Pedro Miguel,Paiva,21,6697,Geleia,5
101,Pedro Miguel,Paiva,21,14142,Sabonete,19
102,Erick,Pinheiro,36,8028,Presunto,8
102,Erick,Pinheiro,36,22136,Batata,15
102,Erick,Pinheiro,36,27885,Peito de peru,5
102,Erick,Pinheiro,36,39620,Iogurte,2
103,Davi,Hipólito,29,3548,Água,12
103,Davi,Hipólito,29,7402,Palito de dente,8
103,Davi,Hipólito,29,23782,Amaciante,12
103,Davi,Hipólito,29,38429,Polpa de tomate,19
104,Liz,Almada,57,12720,Laranja,18
104,Liz,Almada,57,23059,Açúcar,16
104,Liz,Almada,57,32791,Refrigerante,14
104,Liz,Almada,57,39972,Hambúrguer,16
105,Davi Luiz,Alves,45,12245,Velas,16
105,Davi Luiz,Alves,45,13730,Repolho,5
105,Davi Luiz,Alves,45,15229,Biscoitos,9
105,Davi Luiz,Alves,45,16882,Cotonete,13
105,Davi Luiz,Alves,45,30630,Achocolatado,2
106,Samuel,Xisco,35,23487,Absorvente,1
106,Samuel,Xisco,35,28432,Vassoura,18
107,Joaquim,Alencastro,47,9780,Batata palha,17
107,Joaquim,Alencastro,47,29385,Sal grosso,7
107,Joaquim,Alencastro,47,30968,Cenoura,11
108,Isabel,Camilo,19,1990,Lâmina de barbear,11
108,Isabel,Camilo,19,6047,Chá,13
108,Isabel,Camilo,19,22633,Água,18
108,Isabel,Camilo,19,34149,Creme de leite,16
108,Isabel,Camilo,19,39975,Água de coco,18
109,Ana Cecília,Crespo,30,5388,Agrião,9
109,Ana Cecília,Crespo,30,7506,Geleia,4
109,Ana Cecília,Crespo,30,10230,Caldo,17
109,Ana Cecília,Crespo,30,21666,Alvejante,11
109,Ana Cecília,Crespo,30,31056,Água de coco,14
110,Isabel,Camilo,36,6212,Miúdos,1
111,Sophia,Belém,45,12937,Fósforo,11
111,Sophia,Belém,45,14241,Xampu,17
111,Sophia,Belém,45,16704,Saco de lixo,15
111,Sophia,Belém,45,20423,Álcool,12
111,Sophia,Belém,45,32584,Lava-roupas,5
111,Sophia,Belém,45,33973,Acetona,1
111,Sophia,Belém,45,34636,Cebola,10
111,Sophia,Belém,45,35887,Baunilha,12
113,Luana,Arruda,28,3318,Nata,1
113,Luana,Arruda,28,20216,Creme de barbear,2
113,Luana,Arruda,28,29372,Batata palha,15
113,Luana,Arruda,28,30134,Esmalte,4
114,Caleb,Mendes,44,3674,Agrião,6
114,Caleb,Mendes,44,31078,Creme de barbear,15
114,Caleb,Mendes,44,37644,Absorvente,9
115,Kaique,Veiga,47,7178,Doces,15
115,Kaique,Veiga,47,9203,Salgados,2
115,Kaique,Veiga,47,10433,Molho,2
115,Kaique,Veiga,47,19988,Queijo ralado,1
115,Kaique,Veiga,47,25846,Biscoitos,9
116,Luiz Miguel,Rebelo,47,5646,Farinha de rosca,13
116,Luiz Miguel,Rebelo,47,9058,Pimentão,13
116,Luiz Miguel,Rebelo,47,15343,Rum,14
116,Luiz Miguel,Rebelo,47,26074,Maça,17
116,Luiz Miguel,Rebelo,47,26274,Manteiga,5
116,Luiz Miguel,Rebelo,47,30765,Batata,8
116,Luiz Miguel,Rebelo,47,36052,Adoçante,10
116,Luiz Miguel,Rebelo,47,36549,Desodorante,3
116,Luiz Miguel,Rebelo,47,38256,Presunto,17
116,Luiz Miguel,Rebelo,47,38751,Chocolate granulado,18
117,Eduardo,Subtil,32,8235,Carvão,8
118,João Miguel,Taveira,29,534,Sal grosso,16
118,João Miguel,Taveira,29,13454,Farinha de rosca,11
118,João Miguel,Taveira,29,16532,Sabonete,16
118,João Miguel,Taveira,29,29524,Fio-dental,5
118,João Miguel,Taveira,29,39966,Macarrão,13
119,Bruna,Jesus,30,10807,Gel,18
119,Bruna,Jesus,30,12522,Carvão,9
119,Bruna,Jesus,30,26149,Mostarda,15
119,Bruna,Jesus,30,30954,Escova de dente,2
119,Bruna,Jesus,30,35458,Farinha de milho,3
120,Vitória,Vargas,55,11138,Suco,3
120,Vitória,Vargas,55,32477,Chocolate,18
120,Vitória,Vargas,55,35681,Feijão,11
121,Pedro Lucas,Moura,42,356,Uísque,16
121,Pedro Lucas,Moura,42,10601,Pinça,12
121,Pedro Lucas,Moura,42,33995,Suco,5
122,Yuri,Araújo,45,17376,Alho,3
122,Yuri,Araújo,45,22957,Mostarda,18
123,Luan,Frutuoso,44,5325,Fio-dental,18
123,Luan,Frutuoso,44,16803,Desodorante,9
123,Luan,Frutuoso,44,18342,Patê,17
123,Luan,Frutuoso,44,23825,Fósforo,14
123,Luan,Frutuoso,44,34885,Temperinho verde,9
124,Fernanda,Mello,32,1426,Baunilha,14
124,Fernanda,Mello,32,8616,Milho,17
124,Fernanda,Mello,32,16273,Esmalte,18
124,Fernanda,Mello,32,21296,Polpa de tomate,13
124,Fernanda,Mello,32,26199,Banana,16
124,Fernanda,Mello,32,35245,Pães,11
125,Lorenzo,Peixoto,51,13439,Uísque,10
125,Lorenzo,Peixoto,51,14836,Farinha de mandioca,17
125,Lorenzo,Peixoto,51,15723,Brócolis,9
125,Lorenzo,Peixoto,51,16079,Pães,11
